Feature Set,MAE,RMSE,Top 5 Features
control-flow-events,104,139.77,"['Event ID_2B', 'Event ID_AS', 'Event ID_DM', 'Event ID_T8', 'Event ID_CEPM']"
control-flow-clusters,112.09,145.4,"['Cluster_2', 'Cluster_9', 'Cluster_5', 'Cluster_0', 'Cluster_7']"
control-flow-last-events,110.1,143.92,"['Last_event_ID', 'Second_last_event_ID']"
states,116.28,149.93,"['State ID_UT', 'State ID_GC', 'State ID_PC', 'State ID_D1', 'State ID_PC_elapsed_time']"
categorical,140.56,177.51,"['Judge ID', 'Case category', 'Case Section']"
intercase,138.63,185.01,"['TA_actv_cases', '05_actv_cases', 'GC_actv_cases', 'D2_actv_cases', 'UT_actv_cases']"
temporal,117.99,155.11,"['Elapsed_time', 'Time_since_last_event', 'Weekday', 'Week_number', 'Month_number']"
judge_workload,135.27,173.14,['Judge Workload']
controlevents+states,102.38,139.49,"['Event ID_CEPM', 'State ID_UT', 'Event ID_T8', 'Event ID_DM', 'Event ID_W1']"
control-flow-clusters+states,108.93,142.56,"['Cluster_2', 'Cluster_5', 'Cluster_9', 'Cluster_0', 'Cluster_4']"
control-flow-last-events+states,107.28,140.68,"['Last_event_ID', 'Second_last_event_ID', 'State ID_UT', 'State ID_GC', 'State ID_PC_elapsed_time']"
categorical+temporal,112.52,155.2,"['Elapsed_time', 'Case category', 'Judge ID', 'Case Section', 'Time_since_last_event']"
controlevents+states+temporal,104.46,140.55,"['Elapsed_time', 'Event ID_AS', 'Event ID_W1', 'Event ID_DM', 'Event ID_CP']"
ALL_FEATURES,110.41,159.57,"['State ID', 'Case category', 'Elapsed_time', 'TA_actv_cases', 'Judge ID']"
states+categorical+temporal,101.58,138.06,"['State ID_UT', 'Case category', 'Elapsed_time', 'Judge ID', 'State ID_PC']"
states+categorical+temporal+events,99.04,134.12,"['Case category', 'Elapsed_time', 'Judge ID', 'Event ID_AS', 'Event ID_DM']"
states+categorical+temporal+last_events,94.3,131.53,"['Last_event_ID', 'Case category', 'Judge ID', 'Elapsed_time', 'State ID_UT']"
states+categorical,109.13,144.66,"['State ID_UT', 'State ID_GC', 'Case category', 'Judge ID', 'State ID_PC']"
states+categorical+intercase,123.22,171.55,"['State ID_UT', 'State ID_GC', 'Case category', 'State ID_PC', 'Judge ID']"
states+categorical+temporal+last_events+judge_workload,95.74,131.42,"['Last_event_ID', 'Case category', 'Elapsed_time', 'Judge ID', 'State ID_UT']"
states+categorical+temporal+clusters,98.69,134.23,"['Case category', 'Cluster_2', 'Elapsed_time', 'Judge ID', 'Case Section']"
